# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
       0    0.7071068   -0.0003052    0.0000000    0.0003052   180.000000   60.0000000    0.0000000          -
       1    0.5501164   -0.0005379    0.0000458    0.0005398   175.135486   33.7189484  -26.2810516          -
       2    0.3705574   -0.0006866    0.0001068    0.0006949   171.158185   38.7691498    5.0502014          -
       3    0.1757963   -0.0007515    0.0001497    0.0007663   168.732022   47.4413910    8.6722412          -
       4   -0.0261769   -0.0007496    0.0001421    0.0007629   169.265956   62.7937012   15.3523102          -
       5   -0.2270763   -0.0007038    0.0000610    0.0007065   175.043660   90.5689697   27.7752686          -
       6   -0.4186597   -0.0006456   -0.0001030    0.0006538  -170.936131  135.3759766   44.8070068          -
       7   -0.5930676   -0.0006075   -0.0003529    0.0007025  -149.849936  171.9556885   36.5797119          -
       8   -0.7431448   -0.0006208   -0.0006714    0.0009144  -132.760052  151.3441162  -20.6115723          -
       9   -0.8627344   -0.0007057   -0.0010376    0.0012548  -124.221463  105.3388672  -46.0052490          -
      10   -0.9469301   -0.0008726   -0.0014181    0.0016651  -121.605352   74.0030518  -31.3358154          -
      11   -0.9922779   -0.0011187   -0.0017815    0.0021036  -122.126533   57.3172455  -16.6857910          -
      12   -0.9969173   -0.0014277   -0.0020990    0.0025385  -124.221398   48.8799896   -8.4372559          -
      13   -0.9606581   -0.0017729   -0.0023499    0.0029436  -127.033249   44.9780884   -3.9019012          -
      14   -0.8849876   -0.0021229   -0.0025234    0.0032976  -130.072890   43.8234863   -1.1546021          -
      15   -0.7730105   -0.0024433   -0.0026236    0.0035851  -132.962669   44.5797272    0.7562408          -
      16   -0.6293204   -0.0027037   -0.0026636    0.0037953  -135.427573   46.8731842    2.2934570          -
      17   -0.4598124   -0.0028820   -0.0026693    0.0039283  -137.193904   50.5524445    3.6792603          -
      18   -0.2714404   -0.0029688   -0.0026703    0.0039930  -138.030079   55.5363464    4.9839020          -
      19   -0.0719327   -0.0029640   -0.0026951    0.0040061  -137.720806   61.6550903    6.1187439          -
      20    0.1305262   -0.0028820   -0.0027704    0.0039976  -136.130882   68.4463501    6.7912598          -
      21    0.3276302   -0.0027466   -0.0029125    0.0040033  -133.320423   74.9605103    6.5141602          -
      22    0.5112931   -0.0025864   -0.0031242    0.0040559  -129.619278   79.8048096    4.8442688          -
      23    0.6739801   -0.0024281   -0.0033979    0.0041763  -125.548324   81.6934509    1.8886414          -
      24    0.8090170   -0.0022955   -0.0037098    0.0043626  -121.747816   80.2770386   -1.4163818          -
      25    0.9108638   -0.0022030   -0.0040293    0.0045922  -118.667437   76.4202576   -3.8567810          -
      26    0.9753423   -0.0021524   -0.0043192    0.0048258  -116.489096   71.5963440   -4.8239136          -
      27    0.9998072   -0.0021324   -0.0045414    0.0050171  -115.152431   67.1023254   -4.4939880          -
      28    0.9832549   -0.0021200   -0.0046616    0.0051210  -114.455435   63.7519226   -3.3504028          -
      29    0.9263644   -0.0020809   -0.0046558    0.0050997  -114.082159   61.9987335   -1.7531891          -
      30    0.8314696   -0.0019770   -0.0045099    0.0049242  -113.670678   62.2120209    0.2132874          -
